Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Teja Oblak,POR,POR vs. MIN,08/13/2026,2026,L,22,11,4,9,44.4,2,3,66.7,1,2,50.0,2,4,6,9,2,1,2,2,+8
Sika Kone,ATL,ATL @ CON,08/13/2026,2026,W,6,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-1
Madina Okot,ATL,ATL @ CON,08/13/2026,2026,W,16,4,2,5,40.0,0,0,0.0,0,0,0.0,2,5,7,0,0,0,2,3,+10
Olivia Miles,MIN,MIN @ POR,08/13/2026,2026,W,35,13,3,13,23.1,1,3,33.3,6,7,85.7,1,4,5,7,0,1,2,5,+6
Aaliyah Nye,ATL,ATL @ CON,08/13/2026,2026,W,7,6,1,2,50.0,1,2,50.0,3,3,100.0,0,2,2,1,0,1,0,0,+8
Isobel Borlase,ATL,ATL @ CON,08/13/2026,2026,W,12,5,1,4,25.0,1,1,100.0,2,2,100.0,0,0,0,0,0,0,1,1,+7
Raegan Beers,CON,CON vs. ATL,08/13/2026,2026,L,9,0,0,2,0.0,0,0,0.0,0,0,0.0,1,4,5,0,0,0,0,1,-6
Nell Angloma,CON,CON vs. ATL,08/13/2026,2026,L,18,6,1,5,20.0,0,2,0.0,4,4,100.0,4,0,4,2,0,0,1,4,-4
Rayah Marshall,CON,CON vs. ATL,08/13/2026,2026,L,6,1,0,3,0.0,0,0,0.0,1,2,50.0,1,0,1,0,0,0,1,0,-8
Hailey Van Lith,CON,CON vs. ATL,08/13/2026,2026,L,14,2,0,5,0.0,0,2,0.0,2,2,100.0,0,1,1,2,1,0,0,0,-11
Gianna Kneepkens,CON,CON vs. ATL,08/13/2026,2026,L,14,10,4,7,57.1,2,4,50.0,0,0,0.0,1,2,3,1,0,1,0,3,-3
Napheesa Collier,MIN,MIN @ POR,08/13/2026,2026,W,33,20,7,11,63.6,0,1,0.0,6,7,85.7,1,8,9,2,2,3,3,1,+6
Courtney Williams,MIN,MIN @ POR,08/13/2026,2026,W,30,10,4,9,44.4,1,3,33.3,1,2,50.0,0,1,1,4,0,0,1,1,+13
Kayla McBride,MIN,MIN @ POR,08/13/2026,2026,W,32,19,6,10,60.0,3,7,42.9,4,4,100.0,0,1,1,2,4,1,0,1,+8
Emily Engstler,POR,POR vs. MIN,08/13/2026,2026,L,23,8,3,8,37.5,1,5,20.0,1,2,50.0,1,6,7,3,1,2,0,2,-8
Alyssa Thomas,PHX,PHX @ LA,08/12/2026,2026,W,33,16,5,8,62.5,0,0,0.0,6,7,85.7,2,5,7,9,1,1,5,1,+16
Noemie Brochant,PHX,PHX @ LA,08/12/2026,2026,W,30,24,10,13,76.9,3,6,50.0,1,3,33.3,0,3,3,3,5,0,3,3,+13
Sami Whitcomb,PHX,PHX @ LA,08/12/2026,2026,W,22,7,2,6,33.3,2,5,40.0,1,1,100.0,1,3,4,3,2,0,1,1,+20
Kahleah Copper,PHX,PHX @ LA,08/12/2026,2026,W,35,18,7,16,43.8,1,5,20.0,3,4,75.0,1,3,4,1,1,0,8,4,+10
Nneka Ogwumike,LA,LA vs. PHX,08/12/2026,2026,L,33,18,6,14,42.9,2,4,50.0,4,4,100.0,4,5,9,8,0,0,4,2,-10
Dearica Hamby,LA,LA vs. PHX,08/12/2026,2026,L,32,19,8,8,100.0,0,0,0.0,3,5,60.0,0,4,4,2,2,0,4,3,-11
Erica Wheeler,LA,LA vs. PHX,08/12/2026,2026,L,30,7,3,11,27.3,1,7,14.3,0,0,0.0,0,3,3,5,2,0,3,2,-10
DeWanna Bonner,PHX,PHX @ LA,08/12/2026,2026,W,27,11,2,5,40.0,2,4,50.0,5,6,83.3,0,7,7,2,3,3,1,3,+17
Mai Yamamoto,LV,LV vs. WSH,08/12/2026,2026,W,13,3,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0,1,3,0,0,0,-1
Angela Dugalic,WSH,WSH @ LV,08/12/2026,2026,L,1,5,2,2,100.0,1,1,100.0,0,0,0.0,1,0,1,0,0,0,0,0,+3
Cotie McMahon,WSH,WSH @ LV,08/12/2026,2026,L,21,5,2,6,33.3,1,2,50.0,0,0,0.0,0,2,2,3,1,0,1,2,-7
Cassandre Prosper,WSH,WSH @ LV,08/12/2026,2026,L,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,+3
Alicia Florez,WSH,WSH @ LV,08/12/2026,2026,L,5,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,2,0,0,1,0,-3
A'ja Wilson,LV,LV vs. WSH,08/12/2026,2026,W,35,26,10,18,55.6,1,3,33.3,5,5,100.0,2,11,13,2,2,4,5,3,+13
Chelsea Gray,LV,LV vs. WSH,08/12/2026,2026,W,35,12,5,13,38.5,2,6,33.3,0,0,0.0,1,1,2,5,1,0,1,1,+5
Jackie Young,LV,LV vs. WSH,08/12/2026,2026,W,32,25,7,17,41.2,4,9,44.4,7,7,100.0,0,2,2,8,0,0,0,1,+15
Rae Burrell,LA,LA vs. PHX,08/12/2026,2026,L,35,19,6,21,28.6,0,8,0.0,7,8,87.5,1,2,3,6,3,0,1,1,-9
Jewell Loyd,LV,LV vs. WSH,08/12/2026,2026,W,23,4,2,5,40.0,0,2,0.0,0,0,0.0,0,0,0,2,1,0,1,0,+8
Ariel Atkins,LA,LA vs. PHX,08/12/2026,2026,L,32,5,2,7,28.6,1,5,20.0,0,2,0.0,2,2,4,2,4,0,0,5,-13
Kiki Iriafen,WSH,WSH @ LV,08/12/2026,2026,L,34,15,6,11,54.5,0,0,0.0,3,8,37.5,5,8,13,1,0,0,1,1,+2
Taylor Thierry,SEA,SEA vs. CHI,08/11/2026,2026,W,22,7,2,3,66.7,1,2,50.0,2,2,100.0,4,2,6,3,1,0,0,0,+16
